,_id,a_nick,a_score,away,h_nick,h_score,home,playoff,season,week_e,week_s
506,5ff7dac2c8ee41edffd61747,Jake,80.14,Dalvin Cook's Hamstrings,Samik,110.74,Brady's Balls Brigade,0,2018,5,5
507,5ff7dac2c8ee41edffd61745,Frank,120.08,DR. SQUANCH,Charles,54.42,Fear Boners,0,2018,5,5
508,5ff7dac2c8ee41edffd6175c,Brando,90.6,Rise Up?,mballen,105.68,Greg Hardy Breakfast,0,2018,8,8
509,5ff7dac2c8ee41edffd61736,Tarpey,113.44,Roll Safe,Tommy,91.58,The Horsegasms,0,2018,2,2
510,5ff7dac2c8ee41edffd61743,Charles,128.18,Fear Boners,Jake,122.48,Dalvin Cook's Hamstrings,0,2018,4,4
511,5ff7dac2c8ee41edffd61757,Tarpey,124.42,Roll Safe,Fonti,71.76,MR. TWO TIME! TWO TIME!,0,2018,7,7
512,5ff7dac2c8ee41edffd6173f,Frank,111.96,DR. SQUANCH,Fonti,65.64,MR. TWO TIME! TWO TIME!,0,2018,4,4
513,5ff7dac2c8ee41edffd61741,Sendzik,46.74,Sa lt,Conti,105.06,VA Beach Warriors,0,2018,4,4
514,5ff7dac2c8ee41edffd6175b,Sendzik,112.96,Sa lt,Tarpey,103.42,Roll Safe,0,2018,8,8
515,5ff7dac2c8ee41edffd61739,Jake,64.7,Dalvin Cook's Hamstrings,Tarpey,83.54,Roll Safe,0,2018,3,3
516,5ff7dac2c8ee41edffd61753,Jake,92.02,Dalvin Cook's Hamstrings,Sendzik,105.06,Sa lt,0,2018,7,7
517,5ff7dac2c8ee41edffd6174c,Tarpey,141.78,Roll Safe,Conti,117.8,VA Beach Warriors,0,2018,6,6
518,5ff7dac2c8ee41edffd6175d,Frank,83.9,DR. SQUANCH,Samik,124.96,Brady's Balls Brigade,0,2018,8,8
519,5ff7dac2c8ee41edffd61754,Frank,79.88,DR. SQUANCH,Brando,81.46,Rise Up?,0,2018,7,7
520,5ff7dac2c8ee41edffd61763,Tommy,76.06,The Horsegasms,Jake,55.34,Dalvin Cook's Hamstrings,0,2018,9,9
521,5ff7dac2c8ee41edffd6174b,Kindy,115.78,Brady's Balls: Truly Inflated,Tarpey,109.46,Roll Safe,0,2018,5,5
522,5ff7dac2c8ee41edffd61752,Mildred,64.42,Mildred's Redskins,Sendzik,98.2,Sa lt,0,2018,6,6
523,5ff7dac2c8ee41edffd6174a,Mildred,40.7,Mildred's Redskins,Tommy,68.32,The Horsegasms,0,2018,5,5
524,5ff7dac2c8ee41edffd6175a,Tommy,91.8,The Horsegasms,Mildred,58.32,Mildred's Redskins,0,2018,8,8
525,5ff7dac2c8ee41edffd61765,Ben,47.52,beckley poopers,Fonti,86.14,MR. TWO TIME! TWO TIME!,0,2018,9,9
526,5ff7dac2c8ee41edffd61772,Conti,101.5,VA Beach Warriors,Samik,131.68,Brady's Balls Brigade,0,2018,11,11
527,5ff7dac2c8ee41edffd61767,Mildred,45.54,Mildred's Redskins,Charles,105.92,Fear Boners,0,2018,9,9
528,5ff7dac2c8ee41edffd61766,Conti,85.16,VA Beach Warriors,Frank,96.64,DR. SQUANCH,0,2018,9,9
529,5ff7dac2c8ee41edffd6176a,mballen,98.32,Greg Hardy Breakfast,Mildred,54.02,Mildred's Redskins,0,2018,10,10
530,5ff7dac2c8ee41edffd61768,Kindy,120.66,Brady's Balls: Truly Inflated,Conti,65.86,VA Beach Warriors,0,2018,10,10
531,5ff7dac2c8ee41edffd61771,Kindy,71.38,Brady's Balls: Truly Inflated,Sendzik,95.38,Sa lt,0,2018,11,11
532,5ff7dac2c8ee41edffd6176f,Mildred,34.7,Mildred's Redskins,Tarpey,121.22,Roll Safe,0,2018,11,11
533,5ff7dac2c8ee41edffd6176d,Brando,115.1,Rise Up?,Fonti,55.0,MR. TWO TIME! TWO TIME!,0,2018,10,10
534,5ff7dac2c8ee41edffd61769,Charles,106.24,Fear Boners,Tommy,35.02,The Horsegasms,0,2018,10,10
535,5ff7dac2c8ee41edffd6176c,Frank,110.42,DR. SQUANCH,Tarpey,151.26,Roll Safe,0,2018,10,10
536,5ff7dac2c8ee41edffd61770,Jake,46.64,Dalvin Cook's Hamstrings,Fonti,59.6,MR. TWO TIME! TWO TIME!,0,2018,11,11
537,5ff7dac2c8ee41edffd6176e,Sendzik,63.82,Sa lt,Jake,36.3,Dalvin Cook's Hamstrings,0,2018,10,10
538,5ff7dac2c8ee41edffd61781,Tarpey,122.44,Roll Safe,Ben,76.66,beckley poopers,0,2018,13,13
539,5ff7dac2c8ee41edffd61788,Conti,102.62,VA Beach Warriors,Sendzik,61.0,Sa lt,0,2018,14,14
540,5ff7dac2c8ee41edffd61782,Frank,76.38,DR. SQUANCH,Mildred,23.5,Mildred's Redskins,0,2018,13,13
541,5ff7dac2c8ee41edffd6176b,Ben,52.62,beckley poopers,Samik,102.9,Brady's Balls Brigade,0,2018,10,10
542,5ff7dac2c8ee41edffd61786,Tommy,61.6,The Horsegasms,mballen,76.28,Greg Hardy Breakfast,0,2018,14,14
543,5ff7dac2c8ee41edffd6177c,Fonti,59.7,MR. TWO TIME! TWO TIME!,Tarpey,115.32,Roll Safe,0,2018,12,12
544,5ff7dac2c8ee41edffd61773,Brando,119.34,Rise Up?,Charles,111.92,Fear Boners,0,2018,11,11
545,5ff7dac2c8ee41edffd61784,Mildred,37.44,Mildred's Redskins,Ben,42.3,beckley poopers,0,2018,14,14
546,5ff7dac2c8ee41edffd61775,Frank,127.42,DR. SQUANCH,Tommy,49.92,The Horsegasms,0,2018,11,11
547,5ff7dac2c8ee41edffd61778,mballen,92.68,Greg Hardy Breakfast,Charles,122.74,Fear Boners,0,2018,12,12
548,5ff7dac2c8ee41edffd61776,Ben,85.86,beckley poopers,Tommy,80.44,The Horsegasms,0,2018,12,12
549,5ff7dac2c8ee41edffd6177d,mballen,89.24,Greg Hardy Breakfast,Kindy,70.22,Brady's Balls: Truly Inflated,0,2018,13,13
550,5ff7dac2c8ee41edffd61779,Jake,82.44,Dalvin Cook's Hamstrings,Conti,116.22,VA Beach Warriors,0,2018,12,12
551,5ff7dac2c8ee41edffd6178c,Conti,69.36,VA Beach Warriors,Charles,64.82,Fear Boners,1,2018,15,15
552,5ff7dac2c8ee41edffd6178b,Sendzik,126.74,Sa lt,mballen,95.94,Greg Hardy Breakfast,1,2018,15,15
553,5ff7dac2c8ee41edffd61785,Charles,102.24,Fear Boners,Kindy,85.24,Brady's Balls: Truly Inflated,0,2018,14,14
554,5ff7dac2c8ee41edffd6177e,Fonti,52.8,MR. TWO TIME! TWO TIME!,Sendzik,60.8,Sa lt,0,2018,13,13
555,5ff7dac2c8ee41edffd6177b,Brando,109.18,Rise Up?,Frank,90.12,DR. SQUANCH,0,2018,12,12
556,5ff7dac2c8ee41edffd61787,Tarpey,93.88,Roll Safe,Brando,90.88,Rise Up?,0,2018,14,14
557,5ff7dac2c8ee41edffd61789,Samik,119.32,Brady's Balls Brigade,Jake,58.42,Dalvin Cook's Hamstrings,0,2018,14,14
558,5ff7dac2c8ee41edffd6177f,Charles,78.78,Fear Boners,Conti,81.98,VA Beach Warriors,0,2018,13,13
559,5ff7dac2c8ee41edffd6177a,Sendzik,71.54,Sa lt,Samik,147.78,Brady's Balls Brigade,0,2018,12,12
560,5ff7dac2c8ee41edffd61780,Jake,70.06,Dalvin Cook's Hamstrings,Brando,87.64,Rise Up?,0,2018,13,13
561,5ff7dac2c8ee41edffd6178a,Fonti,98.0,MR. TWO TIME! TWO TIME!,Frank,71.86,DR. SQUANCH,0,2018,14,14
562,5ff7dac2c8ee41edffd61774,Ben,66.94,beckley poopers,mballen,83.46,Greg Hardy Breakfast,0,2018,11,11
563,5ff7dac2c8ee41edffd61777,Kindy,80.32,Brady's Balls: Truly Inflated,Mildred,62.52,Mildred's Redskins,0,2018,12,12
564,5ff7dac2c8ee41edffd61783,Samik,120.24,Brady's Balls Brigade,Tommy,70.06,The Horsegasms,0,2018,13,13
