,_id,game_title,sub_title,game_system,genre,now_playing,game_status,game_hours,game_minutes,playtime_calc,add_date,start_date,beat_date,complete_date,game_notes
227,G0228,Rhythm Zone,,Steam,Rhythm,N,Beaten,,,,,,,,
228,G0229,Sid Meier's Civilization 5,,Steam,Turn-based strategy,N,Beaten,,,,,,,,
229,G0230,Pinball FX2,Sorcerer's Lair,Steam,Pinball,N,Beaten,,,,2013-11-24 16:00:00,2013-11-24 16:00:00,2013-11-24 16:00:00,,
230,G0231,Super Laser Racer,,Steam,Racing,N,Beaten,,,,,,,,
231,G0232,Team Fortress 2,,Steam,FPS,N,Beaten,,,,,,,,
232,G0233,Torchlight,,Steam,Action RPG,N,Completed,,,,2013-03-08 16:00:00,2013-03-08 16:00:00,2013-03-08 16:00:00,2018-01-07 16:00:00,
233,G0234,Turba,,Steam,Puzzle,N,Beaten,,,,,,,,
234,G0235,VVVVVV,,Steam,Platformer,N,Beaten,,,,,,,,
235,G0236,Pinball FX2,Zen Classics Pack,Steam,Pinball,N,Beaten,,,,2013-11-24 16:00:00,2013-11-24 16:00:00,2013-11-24 16:00:00,,
236,G0237,Wii Sports Resort,,Wii,Sports,N,Infinite,44.0,26.0,Actual,2009-10-22 16:00:00,2009-10-22 16:00:00,2009-10-22 16:00:00,2009-10-22 16:00:00,
237,G0238,Mario Golf,,VC,Sports,N,Completed,60.0,8.0,Actual,2009-12-25 16:00:00,2009-12-25 16:00:00,2009-12-25 16:00:00,2016-12-31 16:00:00,
238,G0239,Mega Man 9,,VC,Platformer,N,Beaten,28.0,43.0,Actual,2009-12-25 16:00:00,2009-12-25 16:00:00,2013-03-15 16:00:00,,
239,G0240,Call of Duty: Black Ops,,360,FPS,N,Beaten,183.0,21.0,Actual,,,,,"Beat on Regular difficulty. I thought the campaign was really fantastic. This was the first FPS I ever really played thoroughly, getting to 4th prestige (for whatever reason XD), but I had a good time with this game."
