,_id,bracket,flavor
10,604f6ccabed2e824a04393f4,"{'01': 'WICHST', '02': 'MST', '03': 'NORFST', '04': 'TXS', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'NTX', '25': 'UTAHST', '26': 'ARK', '27': 'FL', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'OREGST', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'CREIGH', '39': 'USC', '40': 'IOWA', '41': 'MICH', '42': 'FLST', '43': 'TX', '44': 'MARY', '45': 'WISC', '46': 'NTX', '47': 'ARK', '48': 'OHIOST', '49': 'GTECH', '50': 'OKST', '51': 'WVIR', '52': 'HOU', '53': 'CREIGH', '54': 'IOWA', '55': 'MICH', '56': 'MARY', '57': 'WISC', '58': 'OHIOST', '59': 'GTECH', '60': 'HOU', '61': 'IOWA', '62': 'MARY', '63': 'OHIOST', '64': 'GTECH', '65': 'IOWA', '66': 'OHIOST', '67': 'IOWA'}",max
11,604f6ce9bed2e824a04393f5,"{'01': 'DRAKE', '02': 'UCLA', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'VIR', '09': 'DRAKE', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'TENN', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'TX', '44': 'MARY', '45': 'WISC', '46': 'VILL', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'OKST', '51': 'SYRA', '52': 'RUTGER', '53': 'GNZG', '54': 'IOWA', '55': 'MICH', '56': 'MARY', '57': 'WISC', '58': 'OHIOST', '59': 'ILL', '60': 'RUTGER', '61': 'IOWA', '62': 'MARY', '63': 'OHIOST', '64': 'ILL', '65': 'IOWA', '66': 'ILL', '67': 'IOWA'}",none
12,604f6cf2bed2e824a04393f6,"{'01': 'DRAKE', '02': 'UCLA', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'OREGST', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'TX', '44': 'MARY', '45': 'WISC', '46': 'VILL', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'OKST', '51': 'SYRA', '52': 'RUTGER', '53': 'VIR', '54': 'IOWA', '55': 'MICH', '56': 'MARY', '57': 'VILL', '58': 'OHIOST', '59': 'ILL', '60': 'RUTGER', '61': 'IOWA', '62': 'MICH', '63': 'OHIOST', '64': 'ILL', '65': 'IOWA', '66': 'ILL', '67': 'IOWA'}",none
13,604f6d09bed2e824a04393f7,"{'01': 'DRAKE', '02': 'UCLA', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'OHIO', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'STBON', '15': 'COL', '16': 'NCG', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'NCAR', '23': 'VILL', '24': 'PUR', '25': 'UTAHST', '26': 'ARK', '27': 'FL', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'TENN', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'CLMSN', '36': 'HOU', '37': 'GNZG', '38': 'CREIGH', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'TX', '44': 'MARY', '45': 'BAYL', '46': 'VILL', '47': 'UTAHST', '48': 'OHIOST', '49': 'GTECH', '50': 'TENN', '51': 'WVIR', '52': 'HOU', '53': 'GNZG', '54': 'IOWA', '55': 'MICH', '56': 'TX', '57': 'BAYL', '58': 'OHIOST', '59': 'GTECH', '60': 'WVIR', '61': 'IOWA', '62': 'MICH', '63': 'OHIOST', '64': 'GTECH', '65': 'IOWA', '66': 'GTECH', '67': 'GTECH'}",medium
14,604f71620cc9ab9bf30c2eff,"{'01': 'DRAKE', '02': 'MST', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'TENN', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'USC', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'BYU', '44': 'MARY', '45': 'WISC', '46': 'PUR', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'OKST', '51': 'SYRA', '52': 'RUTGER', '53': 'VIR', '54': 'IOWA', '55': 'MICH', '56': 'MARY', '57': 'WISC', '58': 'OHIOST', '59': 'ILL', '60': 'RUTGER', '61': 'IOWA', '62': 'MICH', '63': 'OHIOST', '64': 'ILL', '65': 'IOWA', '66': 'ILL', '67': 'IOWA'}",none
15,604f716f5d7a255b100c2eff,"{'01': 'WICHST', '02': 'MST', '03': 'APPLST', '04': 'MSTM', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'FL', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'OREGST', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'BYU', '44': 'ALA', '45': 'WISC', '46': 'VILL', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'OKST', '51': 'SYRA', '52': 'RUTGER', '53': 'GNZG', '54': 'IOWA', '55': 'MICH', '56': 'BYU', '57': 'VILL', '58': 'OHIOST', '59': 'ILL', '60': 'SYRA', '61': 'IOWA', '62': 'MICH', '63': 'VILL', '64': 'ILL', '65': 'MICH', '66': 'VILL', '67': 'MICH'}",mild
16,604f719a5d7a255b100c2f00,"{'01': 'DRAKE', '02': 'UCLA', '03': 'APPLST', '04': 'TXS', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'DRAKE', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'STBON', '15': 'COL', '16': 'FLST', '17': 'UCLA', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'LOYCH', '31': 'TENN', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'MICH', '42': 'FLST', '43': 'TX', '44': 'ALA', '45': 'BAYL', '46': 'VILL', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'TENN', '51': 'SYRA', '52': 'RUTGER', '53': 'GNZG', '54': 'IOWA', '55': 'MICH', '56': 'TX', '57': 'VILL', '58': 'ARK', '59': 'ILL', '60': 'RUTGER', '61': 'GNZG', '62': 'MICH', '63': 'ARK', '64': 'ILL', '65': 'MICH', '66': 'ILL', '67': 'MICH'}",mild
17,604f71a3971f0eec4d0c2eff,"{'01': 'WICHST', '02': 'UCLA', '03': 'APPLST', '04': 'TXS', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'NCG', '17': 'BYU', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'NTX', '25': 'UTAHST', '26': 'ARK', '27': 'FL', '28': 'OHIOST', '29': 'ILL', '30': 'LOYCH', '31': 'TENN', '32': 'LIBRTY', '33': 'SYRA', '34': 'MHST', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'LSU', '42': 'COL', '43': 'TX', '44': 'MARY', '45': 'WISC', '46': 'VILL', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'TENN', '51': 'SYRA', '52': 'HOU', '53': 'GNZG', '54': 'IOWA', '55': 'COL', '56': 'TX', '57': 'WISC', '58': 'OHIOST', '59': 'TENN', '60': 'SYRA', '61': 'GNZG', '62': 'TX', '63': 'WISC', '64': 'SYRA', '65': 'TX', '66': 'WISC', '67': 'WISC'}",max
18,604f74585d7a255b100c2f01,"{'01': 'DRAKE', '02': 'MST', '03': 'APPLST', '04': 'TXS', '05': 'GNZG', '06': 'OKL', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'NCG', '17': 'BYU', '18': 'TX', '19': 'UCONN', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'TXTECH', '26': 'ARK', '27': 'FL', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'TENN', '32': 'OKST', '33': 'SYRA', '34': 'WVIR', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'USC', '40': 'IOWA', '41': 'MICH', '42': 'COL', '43': 'BYU', '44': 'UCONN', '45': 'WISC', '46': 'VILL', '47': 'ARK', '48': 'OHIOST', '49': 'ILL', '50': 'OKST', '51': 'SYRA', '52': 'RUTGER', '53': 'VIR', '54': 'IOWA', '55': 'COL', '56': 'BYU', '57': 'VILL', '58': 'OHIOST', '59': 'ILL', '60': 'RUTGER', '61': 'VIR', '62': 'COL', '63': 'OHIOST', '64': 'ILL', '65': 'COL', '66': 'ILL', '67': 'ILL'}",medium
19,604f747c5d7a255b100c2f02,"{'01': 'DRAKE', '02': 'UCLA', '03': 'APPLST', '04': 'TXS', '05': 'GNZG', '06': 'MISSR', '07': 'CREIGH', '08': 'VIR', '09': 'USC', '10': 'KAN', '11': 'ORE', '12': 'IOWA', '13': 'MICH', '14': 'LSU', '15': 'COL', '16': 'FLST', '17': 'UCLA', '18': 'TX', '19': 'MARY', '20': 'ALA', '21': 'BAYL', '22': 'WISC', '23': 'VILL', '24': 'PUR', '25': 'UTAHST', '26': 'ARK', '27': 'VTECH', '28': 'OHIOST', '29': 'ILL', '30': 'GTECH', '31': 'TENN', '32': 'OKST', '33': 'SYRA', '34': 'MHST', '35': 'RUTGER', '36': 'HOU', '37': 'GNZG', '38': 'VIR', '39': 'KAN', '40': 'IOWA', '41': 'LSU', '42': 'COL', '43': 'TX', '44': 'ALA', '45': 'WISC', '46': 'VILL', '47': 'UTAHST', '48': 'OHIOST', '49': 'ILL', '50': 'OKST', '51': 'SYRA', '52': 'HOU', '53': 'GNZG', '54': 'IOWA', '55': 'LSU', '56': 'TX', '57': 'VILL', '58': 'OHIOST', '59': 'ILL', '60': 'HOU', '61': 'IOWA', '62': 'TX', '63': 'OHIOST', '64': 'ILL', '65': 'IOWA', '66': 'OHIOST', '67': 'IOWA'}",mild
