,_id,add_date,beat_date,complete_date,dlc,game_hours,game_minutes,game_notes,game_status,game_system,game_title,genre,now_playing,playtime_calc,start_date,sub_title
343,6007bab2a5cefca6c9947ef8,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-11-08 16:00:00,N,,,"All hats! :D StreetPass games, yay! This''ll always be a classic.",Completed,3DS,Find Mii 2,RPG,N,,2013-07-10 16:00:00,
344,6007bab2a5cefca6c9947ef7,2013-07-10 16:00:00,2013-07-10 16:00:00,2013-07-10 16:00:00,N,,,Got all the helmets!,Completed,3DS,Find Mii,RPG,N,,2013-07-10 16:00:00,
345,6007bab2a5cefca6c9947ef0,2010-06-28 16:00:00,2010-06-28 16:00:00,,N,2.0,28.0,,Beaten,Wii,New Super Mario Bros. Wii,Platformer,N,Actual,2010-06-28 16:00:00,
346,6007bab2a5cefca6c9947ef3,,,,N,,,ggwp. Definitely back into StarCraft. ^_^,Beaten,BNet,StarCraft II: Wings of Liberty,Real-time strategy,N,,,
347,6007bab2a5cefca6c9947efc,,,,N,6.0,20.0,,Completed,VCH,Kirby & The Amazing Mirror,Platformer,N,Actual,,
348,6007bab2a5cefca6c9947efd,2020-11-24 12:00:00,,,N,,,,Not Started,3DS,Mario & Luigi: Bowser's Inside Story,RPG,N,,,
349,6007bab2a5cefca6c9947eff,,,,N,5.0,46.0,,Completed,VCH,Mario Golf,Sports,N,Actual,,
350,6007bab2a5cefca6c9947f00,2012-11-25 16:00:00,2012-11-25 16:00:00,,N,1.0,47.0,,Beaten,VCH,Mario Kart: Super Circuit,Racing,N,Actual,2012-11-25 16:00:00,
351,6007bab2a5cefca6c9947efe,,,,N,,,30 stars.,Beaten,3DS,Mario and Donkey Kong: Minis on the Move,Puzzle,N,,,
352,6007bab2a5cefca6c9947f01,,,,N,4.0,20.0,,Beaten,VCH,Mario vs. Donkey Kong,Puzzle,N,Actual,,
353,6007bab2a5cefca6c9947f02,,,,N,2.0,23.0,,Completed,VCH,Mega Man,Platformer,N,Actual,,
354,6007bab2a5cefca6c9947f03,2013-03-12 16:00:00,2013-03-15 16:00:00,,N,5.0,8.0,,Beaten,VCH,Metroid,Metroidvania,N,Actual,2013-03-12 16:00:00,
