,_id,away_key,home_key,home_win_chance_max,home_win_chance_median,home_win_chance_medium,home_win_chance_mild,max_margin_bottom,max_margin_top,median_margin,median_margin_bottom,median_margin_top,medium_margin_bottom,medium_margin_top,mild_margin_bottom,mild_margin_top,season
639,604ecb9ecfabe84fa1d729dc,GEORGE,MARY,0.76,1.0,0.8254364089775561,1.0,-38,52,10,7,14,-9,29,1,21,2021
640,604ecbbbfe67c57c73e8a50f,GEORGE,NCG,0.322,0.0,0.2832512315270936,0.14893617021276595,-49,42,-7,-10,-3,-24,12,-16,3,2021
641,604ecbd25dce029ba18248df,GEORGE,HARTFD,0.151,0.0,0.0647571606475716,0.0,-60,29,-15,-19,-11,-34,3,-25,-5,2021
642,604ecbd5885ef364ac1eec24,GEORGE,IONA,0.088,0.0,0.0,0.0,-59,24,-18,-21,-15,-36,-2,-28,-9,2021
643,604ecbe2218e0f290eafd9ee,GEORGE,COLG,0.288,0.0,0.24142156862745098,0.0854368932038835,-59,40,-8,-12,-4,-27,12,-18,2,2021
644,604ecbef19c4dcf7ed44c53a,GEORGE,WISC,0.739,1.0,0.797752808988764,0.9674952198852772,-47,53,10,6,13,-9,26,-1,19,2021
645,604ecbefb46b3b8f16e28a88,GEORGE,WINTH,0.176,0.0,0.09888751545117429,0.0,-63,45,-14,-17,-10,-33,5,-24,-4,2021
646,604ecbfc098d806f1fe0cbbf,GEORGE,UTAHST,0.511,0.6,0.5190651906519065,0.5236294896030246,-46,40,1,-3,5,-18,19,-9,11,2021
647,604ecc09bcc2efd67b69d3d2,GEORGE,NTX,0.521,0.6085106382978723,0.5267080745341615,0.5404339250493096,-55,45,1,-3,5,-17,19,-9,11,2021
648,604ecc0f6631cba208a49ff4,GEORGE,ORAL,0.41,0.1278538812785388,0.3875776397515528,0.333984375,-44,42,-4,-7,1,-21,15,-12,7,2021
649,604ecc26b0c99457d51465f4,GEORGE,VTECH,0.51,0.5882352941176471,0.5105853051058531,0.5241635687732342,-53,51,1,-3,4,-17,18,-9,10,2021
650,604ecc32150d29ba50b05365,GEORGE,LIBRTY,0.521,0.6318181818181818,0.5265104808877928,0.5351043643263758,-47,49,1,-3,5,-18,20,-10,11,2021
651,604ecc424d376aec5e7e62bf,GEORGE,DREXEL,0.252,0.0,0.19506172839506172,0.04725897920604915,-60,38,-10,-14,-6,-29,9,-19,1,2021
652,604ecc52b74087e1f8a47613,GEORGE,SYRA,0.711,1.0,0.7632552404438965,0.8984674329501916,-35,49,9,5,12,-11,27,-3,18,2021
653,604ecc64c6bed40d88bc52c5,GEORGE,RUTGER,0.665,1.0,0.7031055900621118,0.8115384615384615,-39,48,6,2,10,-12,25,-4,16,2021
654,604ecc6c30e94052f93b6986,GEORGE,OREGST,0.504,0.48412698412698413,0.5055079559363526,0.49901768172888017,-45,45,1,-4,4,-18,18,-9,9,2021
655,604ecc73fe569958bc37f6f7,GEORGE,MHST,0.386,0.0,0.35785536159601,0.27850467289719627,-63,39,-4,-8,-1,-22,14,-14,6,2021
656,604ecc95064ea3d113421d60,GEORGE,UCLA,0.55,0.7098214285714286,0.561510353227771,0.6084452975047985,-54,52,2,-2,5,-16,21,-7,12,2021
657,604ecc9f2e55ab2df12b0219,GEORGE,TXS,0.093,0.0,0.0,0.0,-61,25,-20,-23,-16,-39,-2,-30,-10,2021
658,604ecca017ee14c15310f07b,GEORGE,GTECH,0.706,1.0,0.7549751243781094,0.8836772983114447,-45,48,8,5,11,-11,26,-3,18,2021
659,604eccb047a724d37653d033,GEORGE,CREIGH,0.683,1.0,0.7287299630086314,0.8499025341130604,-42,59,7,4,11,-11,27,-3,17,2021
660,604eccbf6a788db77527647e,GEORGE,DRAKE,0.579,0.8488888888888889,0.5975757575757575,0.6516634050880626,-38,46,3,-1,6,-16,21,-7,12,2021
661,604eccc05a0a9cf0e7e64f35,GEORGE,CLVST,0.248,0.0,0.1857318573185732,0.0,-59,33,-10,-13,-6,-28,8,-19,-1,2021
662,604eccc13549d68b832b0a77,GEORGE,APPLST,0.253,0.0,0.1896551724137931,0.05390334572490706,-64,38,-9,-13,-6,-28,9,-19,1,2021
663,604eccc219c38afc7133e303,GEORGE,GNZG,0.78,1.0,0.8496894409937888,1.0,-45,52,11,7,14,-8,30,2,20,2021
664,604eccc743cc245f245c1d2b,GEORGE,OKL,0.622,1.0,0.6447688564476886,0.7232472324723247,-45,44,4,1,8,-15,22,-6,14,2021
665,604ecd02274c5583faff0c40,GEORGE,MICH,0.767,1.0,0.8198307134220073,1.0,-39,57,11,7,14,-8,28,2,20,2021
666,604ecd13d5771a2b06f79d2b,GEORGE,VIR,0.781,1.0,0.8487084870848709,1.0,-29,55,11,8,15,-7,30,2,21,2021
667,604ecd132f5a8f3b7c8249bf,GEORGE,KAN,0.645,1.0,0.6772616136919315,0.7799227799227799,-40,62,6,2,9,-13,24,-5,15,2021
668,604ecd26d0bc91c239343aa7,GEORGE,IOWA,0.882,1.0,0.9608323133414932,1.0,-27,68,17,13,21,-2,37,7,28,2021
669,604ecd2a5eb1bdb13127c61e,GEORGE,USC,0.613,1.0,0.6373762376237624,0.7074569789674953,-43,49,4,1,7,-14,23,-6,13,2021
670,604ecd3c6dbd8f66ede8a44f,GEORGE,ORE,0.587,0.8669724770642202,0.6081582200247219,0.6673189823874756,-62,54,3,-1,6,-15,23,-6,13,2021
671,604ecd4163eaa7765ecf32c7,GEORGE,COL,0.668,1.0,0.7070457354758962,0.816247582205029,-38,56,6,3,9,-13,24,-4,16,2021
672,604ecd46885ef364ac1eec34,GEORGE,LSU,0.715,1.0,0.7704517704517705,0.9022988505747126,-35,57,8,5,12,-10,27,-2,18,2021
673,604ecd5234ebea6ab47ec4dc,GEORGE,TX,0.591,0.8755364806866953,0.6113161131611317,0.6635687732342007,-39,52,4,-1,7,-15,23,-7,14,2021
674,604ecd5af5611e47b1f0c1fb,GEORGE,UCONN,0.453,0.28085106382978725,0.43788437884378845,0.4030131826741996,-43,40,-2,-5,2,-20,17,-11,8,2021
675,604ecd626631cba208a4a004,GEORGE,FLST,0.484,0.4304932735426009,0.4796547472256473,0.4837476099426386,-46,44,-1,-4,4,-19,18,-9,10,2021
676,604ecd6b19c4dcf7ed44c54a,GEORGE,BYU,0.593,0.8571428571428571,0.6120689655172413,0.6851485148514852,-45,47,5,-1,8,-14,23,-6,14,2021
677,604ecd8406cbaf2d89db939d,GEORGE,VILL,0.696,1.0,0.7385377942998761,0.8801571709233792,-41,57,7,4,11,-12,27,-3,18,2021
678,604ecdab218e0f290eafd9fe,GEORGE,ALA,0.614,1.0,0.6407407407407407,0.7148217636022514,-44,55,4,1,8,-15,24,-7,14,2021
679,604ecdad33a0a8de0d6c5fe8,GEORGE,FL,0.466,0.3055555555555556,0.4577114427860697,0.4263261296660118,-48,48,-2,-6,2,-19,17,-11,8,2021
680,604ecdb05722a7e303a47673,GEORGE,PUR,0.684,1.0,0.7307692307692307,0.853515625,-46,49,7,4,10,-10,26,-3,17,2021
681,604ecdb0b46b3b8f16e28a98,GEORGE,BAYL,0.645,1.0,0.6816479400749064,0.7861271676300579,-36,55,6,2,10,-13,25,-5,16,2021
682,604ecdbd150d29ba50b05375,GEORGE,TXTECH,0.537,0.6853448275862069,0.5460122699386503,0.5706106870229007,-48,47,2,-3,5,-17,19,-8,11,2021
683,604ecdc64c8b3d01b83b6856,GEORGE,NCAR,0.507,0.5648148148148148,0.5099502487562189,0.5009671179883946,-41,45,1,-3,4,-18,19,-9,9,2021
684,604ecdc761adb543c105fd4c,GEORGE,ARK,0.627,1.0,0.6579601990049752,0.744916820702403,-51,47,6,2,9,-15,23,-5,15,2021
685,604ecdef2e55ab2df12b0229,GEORGE,TENN,0.61,1.0,0.6437346437346437,0.700381679389313,-42,49,4,1,8,-14,23,-6,13,2021
686,604ecdf436da51554e0a9b63,GEORGE,OHIOST,0.777,1.0,0.8376383763837638,1.0,-32,54,11,8,15,-9,30,2,22,2021
687,604ecdfb17ee14c15310f08b,GEORGE,LOYCH,0.598,0.9295774647887324,0.6169950738916257,0.7094339622641509,-42,51,4,-1,7,-16,22,-6,14,2021
688,604ece1d6a788db77527648e,GEORGE,ILL,0.85,1.0,0.9253365973072215,1.0,-43,69,16,12,19,-4,33,5,25,2021
689,604ece3b5036e38c365ebcd0,NCG,ABCHR,0.189,0.0,0.12300123001230012,0.0,-62,28,-12,-16,-9,-29,7,-22,-3,2021
690,604ece523549d68b832b0a87,GEORGE,SDST,0.438,0.20851063829787234,0.4232209737827715,0.36923076923076925,-50,49,-3,-7,2,-22,17,-13,7,2021
691,604ece595a9d9c0e13f79c4b,GEORGE,WVIR,0.555,0.7068965517241379,0.5662949194547707,0.5954198473282443,-44,48,3,-2,6,-16,21,-7,12,2021
692,604ece5ff69875f6ed250aae,NCG,MARY,0.869,1.0,0.9522643818849449,1.0,-33,60,14,10,18,-3,33,6,23,2021
693,604ece6bd0bc91c239343ab7,GEORGE,HOU,0.577,0.8653846153846154,0.5975308641975309,0.6313799621928167,-45,46,3,-1,6,-15,23,-7,13,2021
694,604ece8855ce06319b0082d2,NCG,UTAHST,0.649,1.0,0.6843403205918619,0.7662835249042146,-32,53,5,2,9,-13,23,-5,14,2021
695,604ece93bcc2efd67b69d3e2,GEORGE,CLMSN,0.472,0.40948275862068967,0.45532435740514077,0.4420849420849421,-41,45,-2,-5,3,-21,17,-11,8,2021
696,604ecea9cfabe84fa1d729ec,NCG,NTX,0.649,1.0,0.6806411837237978,0.7551789077212806,-36,51,6,2,10,-12,25,-5,16,2021
697,604eceb9b0c99457d5146604,NCG,IONA,0.162,0.0,0.08292079207920793,0.0,-53,28,-14,-18,-11,-32,5,-24,-4,2021
698,604ecebd7bd6e66ac4bc52b5,NCG,COLG,0.478,0.3898305084745763,0.46956521739130436,0.4715909090909091,-41,42,-1,-6,3,-21,17,-12,9,2021
699,604ecec34d376aec5e7e62cf,NCG,HARTFD,0.241,0.0,0.18895705521472392,0.0,-59,36,-9,-13,-6,-28,10,-19,-1,2021
700,604eced168bad4c1e0ff0cf0,NCG,VTECH,0.637,1.0,0.6687268232385661,0.7462121212121212,-39,52,5,2,9,-13,24,-5,15,2021
701,604ecedb43cc245f245c1d3b,NCG,DREXEL,0.37,0.0,0.337888198757764,0.2403846153846154,-53,43,-5,-8,-2,-22,13,-14,5,2021
702,604ecedf06cbaf2d89db93ad,NCG,OREGST,0.659,1.0,0.6942752740560292,0.8096153846153846,-47,50,6,3,9,-13,24,-4,16,2021
703,604eceea064ea3d113421d70,NCG,WINTH,0.322,0.0,0.28376703841387857,0.14396887159533073,-54,40,-7,-10,-3,-25,12,-17,3,2021
704,604eceee19c38afc7133e313,NCG,GTECH,0.813,1.0,0.8863080684596577,1.0,-29,58,12,9,16,-6,31,4,23,2021
705,604ecef2fe569958bc37f707,NCG,WISC,0.873,1.0,0.966501240694789,1.0,-29,56,16,11,20,-2,35,6,26,2021
706,604ecf166631cba208a4a014,NCG,ORAL,0.611,1.0,0.6392009987515606,0.7086466165413534,-55,45,4,1,7,-15,22,-7,14,2021
707,604ecf1d5eb1bdb13127c62e,NCG,LIBRTY,0.608,1.0,0.6372549019607843,0.7063339731285988,-46,49,4,1,8,-14,23,-6,14,2021
708,604ecf272e55ab2df12b0239,NCG,RUTGER,0.811,1.0,0.8772782503037667,1.0,-26,56,12,8,15,-6,31,3,21,2021
709,604ecf2f5722a7e303a47683,NCG,DRAKE,0.726,1.0,0.7801242236024845,0.9442307692307692,-40,66,8,5,12,-9,26,-1,18,2021
710,604ecf38218e0f290eafda0e,NCG,UCLA,0.731,1.0,0.7860635696821516,0.9419475655430711,-40,47,8,5,11,-10,26,-1,18,2021
711,604ecf59fe67c57c73e8a51f,NCG,SYRA,0.838,1.0,0.9219330855018587,1.0,-39,50,15,11,19,-4,33,4,25,2021
712,604ecf7d63eaa7765ecf32d7,NCG,GNZG,0.901,1.0,1.0,1.0,-28,65,19,15,22,1,36,9,29,2021
