test,SeasonTeamID,AdjD,AdjEM,AdjO,AdjT,Conf,Conference,GlobalTeamID,Key,L,Luck,NCAdjEM,Name,OppAdjEM,OppD,OppO,Rk,School,Season,ShortDisplayName,Stadium,TeamLogoUrl,W
57,600000562021,97.0,4.99,102.0,68.4,A10,Atlantic 10,60000056,GMSN,0,0.046,-4.85,Patriots,3.6,100.9,104.5,131,George Mason,2021,GMSN,"{'StadiumID': 121, 'Active': True, 'Name': 'EagleBank Arena', 'Address': None, 'City': 'Fairfax', 'State': 'VA', 'Zip': None, 'Country': None, 'Capacity': 7860}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
58,600000572021,104.3,-1.54,102.8,68.8,A10,Atlantic 10,60000057,LASAL,0,-0.012,6.3,Explorers,7.49,97.2,104.7,194,La Salle,2021,LASALLE,"{'StadiumID': 154, 'Active': True, 'Name': 'Tom Gola Arena', 'Address': None, 'City': 'Philadelphia', 'State': 'PA', 'Zip': None, 'Country': None, 'Capacity': 3400}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
59,600000632021,95.4,12.68,108.1,66.6,BE,Big East,60000063,PROV,0,0.001,7.2,Friars,13.65,95.6,109.3,76,Providence,2021,PROV,"{'StadiumID': 481, 'Active': True, 'Name': 'Alumni Hall (RI)', 'Address': None, 'City': 'Providence', 'State': 'RI', 'Zip': None, 'Country': None, 'Capacity': 2620}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
60,600000602021,94.8,16.25,111.1,66.8,BE,Big East,60000060,SETON,0,-0.027,11.18,Pirates,14.45,95.1,109.6,52,Seton Hall,2021,SETON,"{'StadiumID': 326, 'Active': True, 'Name': 'Prudential Center', 'Address': None, 'City': 'Newark', 'State': 'NJ', 'Zip': None, 'Country': None, 'Capacity': 18711}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
61,600000642021,96.1,7.35,103.5,64.9,BE,Big East,60000064,BUTL,0,0.069,-0.4,Bulldogs,14.67,95.2,109.9,115,Butler,2021,BUTLER,"{'StadiumID': 161, 'Active': True, 'Name': 'Hinkle Fieldhouse', 'Address': None, 'City': 'Indianapolis', 'State': 'IN', 'Zip': None, 'Country': None, 'Capacity': 9100}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
62,600000612021,92.8,22.73,115.6,69.1,BE,Big East,60000061,CREIGH,0,0.001,-1.4,Bluejays,12.52,95.3,107.8,19,Creighton,2021,CREIGH,"{'StadiumID': 65, 'Active': True, 'Name': 'CHI Health Center Omaha', 'Address': None, 'City': 'Omaha', 'State': 'NE', 'Zip': None, 'Country': None, 'Capacity': 17352}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
63,600000622021,92.9,15.49,108.4,69.6,BE,Big East,60000062,GEORGE,0,0.001,4.5,Hoyas,14.45,95.8,110.3,55,Georgetown,2021,GEORGE,"{'StadiumID': 488, 'Active': True, 'Name': 'McDonough Arena', 'Address': None, 'City': 'Washington', 'State': 'DC', 'Zip': None, 'Country': None, 'Capacity': 2400}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
64,600000652021,96.1,12.19,108.3,67.7,BE,Big East,60000065,MARQ,0,-0.007,6.65,Golden Eagles,14.04,95.5,109.5,80,Marquette,2021,MARQ,"{'StadiumID': 74, 'Active': True, 'Name': 'Fiserv Forum', 'Address': None, 'City': 'Milwaukee', 'State': 'WI', 'Zip': None, 'Country': None, 'Capacity': 17341}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
65,600000682021,101.1,-2.42,98.7,66.0,BSky,Big Sky,60000068,MONT,0,0.009,16.26,Grizzlies,0.69,102.8,103.5,202,Montana,2021,MONT,"{'StadiumID': 136, 'Active': True, 'Name': 'Dahlberg Arena', 'Address': None, 'City': 'Missoula', 'State': 'MT', 'Zip': None, 'Country': None, 'Capacity': 7322}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/68.png,0
66,600000662021,93.5,4.82,98.4,70.9,BE,Big East,60000066,DEPAUL,0,-0.048,-9.36,Blue Demons,13.52,95.5,109.0,133,DePaul,2021,DEPAUL,"{'StadiumID': 93, 'Active': True, 'Name': 'Wintrust Arena', 'Address': None, 'City': 'Chicago', 'State': 'IL', 'Zip': None, 'Country': None, 'Capacity': 10387}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
67,600000672021,97.8,14.15,111.9,73.6,BE,Big East,60000067,STJOHN,0,0.014,-3.17,Red Storm,11.11,96.4,107.5,67,St. John's,2021,STJOHN,"{'StadiumID': 19, 'Active': True, 'Name': 'Carnesecca Arena', 'Address': None, 'City': 'Queens', 'State': 'NY', 'Zip': None, 'Country': None, 'Capacity': 5602}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
68,600000702021,100.3,8.08,108.4,72.4,BSky,Big Sky,60000070,EWASH,0,-0.081,17.77,Eagles,-3.21,103.8,100.6,110,Eastern Washington,2021,EWU,"{'StadiumID': 392, 'Active': True, 'Name': 'Reese Court', 'Address': None, 'City': 'Cheney', 'State': 'WA', 'Zip': None, 'Country': None, 'Capacity': 6000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/70.png,0
69,600000722021,102.0,-8.33,93.7,64.5,BSky,Big Sky,60000072,IDHST,0,0.0,3.77,Bengals,-4.21,104.2,100.0,268,Idaho State,2021,IDST,"{'StadiumID': 226, 'Active': True, 'Name': 'Reed Gym', 'Address': None, 'City': 'Pocatello', 'State': 'ID', 'Zip': None, 'Country': None, 'Capacity': 3040}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/72.png,0
70,600000732021,113.4,-22.98,90.4,67.1,BSky,Big Sky,60000073,IDAHO,0,-0.021,11.99,Vandals,-1.42,103.2,101.8,352,Idaho,2021,IDAHO,"{'StadiumID': 380, 'Active': True, 'Name': 'Cowan Spectrum', 'Address': None, 'City': 'Moscow', 'State': 'ID', 'Zip': None, 'Country': None, 'Capacity': 5000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/73.png,0
71,600000692021,102.3,5.37,107.7,72.2,BSky,Big Sky,60000069,WEBST,0,-0.028,5.89,Wildcats,-4.66,104.7,100.0,127,Weber State,2021,WEBST,"{'StadiumID': 344, 'Active': True, 'Name': 'Dee Events Center', 'Address': None, 'City': 'Ogden', 'State': 'UT', 'Zip': None, 'Country': None, 'Capacity': 11500}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/69.png,0
72,600000712021,107.6,-10.05,97.6,67.4,Sum,Summit,60000071,NDAK,0,0.077,5.29,Fighting Hawks,-0.57,104.1,103.5,293,North Dakota,2021,UND,"{'StadiumID': 336, 'Active': True, 'Name': 'Betty Engelstad Sioux Center', 'Address': None, 'City': 'Grand Forks', 'State': 'ND', 'Zip': None, 'Country': None, 'Capacity': 3300}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/71.png,0
73,600000802021,106.7,-5.27,101.4,68.5,BSth,Big South,60000080,NCASHE,0,-0.008,-4.67,Bulldogs,-5.46,104.7,99.2,236,UNC Asheville,2021,NCASHE,"{'StadiumID': 283, 'Active': True, 'Name': 'Kimmel Arena', 'Address': None, 'City': 'Asheville', 'State': 'NC', 'Zip': None, 'Country': None, 'Capacity': 3200}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/0.png,0
74,600000782021,105.1,3.46,108.6,70.2,BSky,Big Sky,60000078,SUTAH,0,0.082,-1.83,Thunderbirds,-5.2,105.1,99.9,141,Southern Utah,2021,SUTAH,"{'StadiumID': 377, 'Active': True, 'Name': 'America First Events Center', 'Address': None, 'City': 'Cedar City', 'State': 'UT', 'Zip': None, 'Country': None, 'Capacity': 5300}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/78.png,0
75,600000742021,103.4,-4.02,99.4,68.6,BSky,Big Sky,60000074,MONST,0,0.055,4.07,Bobcats,-2.78,104.1,101.3,224,Montana State,2021,MONST,"{'StadiumID': 73, 'Active': True, 'Name': 'Brick Breeden Fieldhouse ', 'Address': None, 'City': 'Bozeman', 'State': 'MT', 'Zip': None, 'Country': None, 'Capacity': 7000}",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/logos/ncaa/74.png,0
