,StatID,Assists,BlockedShots,DefensiveRebounds,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,Minutes,Name,OffensiveRebounds,PersonalFouls,PlayerID,Points,Position,Rebounds,Season,SeasonType,Steals,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,ft_chance,three_chance,two_attempt_chance,two_chance
20,563558,0,3,7,30.0,32.75,30.0,13,5,38.5,2,0,0.0,8,40,Ibrahima Diallo,8,6,60000822,10,F,15,2020,1,0,OHIOST,98,0,0,0.0,4,13,5,38.5,0.0,0.0,1.0,0.3846153915
21,562450,80,3,89,606.8,678.75,606.8,336,119,35.4,67,54,80.6,30,968,Antonio Green,10,72,60000791,362,G,99,2020,1,32,MTNST,135,220,70,31.8,64,116,49,42.2,0.8059701324,0.3181818128,0.3452380896,0.4224137962
22,555442,2,3,12,62.6,66.5,62.6,20,7,35.0,13,6,46.2,9,112,Walter Jones,6,14,60000795,21,G,18,2020,1,8,ALAAM,309,7,1,14.3,5,13,6,46.2,0.4615384638,0.1428571492,0.6499999762,0.4615384638
23,554140,4,4,31,83.8,92.75,83.8,36,10,27.8,13,7,53.8,26,201,Jeantal Cylla,8,30,60000868,29,F,39,2020,1,3,ARK,276,14,2,14.3,12,22,8,36.4,0.538461566,0.1428571492,0.6111111045,0.3636363745
24,557502,100,10,68,501.2,535.5,501.2,172,63,36.6,58,41,70.7,32,723,Nick Rutherford,8,85,60000875,176,G,76,2020,1,58,STJOHN,67,37,9,24.3,52,135,54,40.0,0.7068965435,0.2432432473,0.7848837376,0.400000006
25,563636,32,0,54,318.0,356.5,318.0,201,69,34.3,13,11,84.6,32,568,Devin Morgan Jr.,6,31,60000503,195,G,60,2020,1,14,YNGST,155,144,46,31.9,25,57,23,40.4,0.8461538553,0.3194444478,0.2835820913,0.4035087824
26,554413,35,27,146,545.1,594.5,545.1,189,92,48.7,38,30,78.9,30,711,Sam Miller,32,53,60000293,253,F,178,2020,1,7,CHAR,129,92,39,42.4,42,97,53,54.6,0.7894737124,0.4239130318,0.5132275224,0.5463917255
27,610771,1,0,6,28.7,31.0,28.7,20,5,25.0,4,4,100.0,1,35,Ahmad Gilbert,0,4,60000838,16,G,6,2020,1,3,STLB,957,8,2,25.0,2,12,3,25.0,1.0,0.25,0.6000000238,0.25
28,562331,58,7,69,404.0,436.0,404.0,139,67,48.2,50,41,82.0,27,643,Christian Williams,11,41,60000060,192,G,80,2020,1,27,INDST,207,40,17,42.5,39,99,50,50.5,0.8199999928,0.4250000119,0.7122302055,0.5050504804
29,558414,1,0,2,14.9,16.0,14.9,9,4,44.4,6,5,83.3,5,34,Deion James,0,6,60000904,13,F,2,2020,1,0,WASHST,256,0,0,0.0,2,9,4,44.4,0.8333333135,0.0,1.0,0.4444444478
30,562398,50,18,213,1085.4,1182.0,1085.4,413,217,52.5,191,136,71.2,31,1141,Jibri Blount,79,86,60000879,593,F,292,2020,1,65,NCC,197,72,23,31.9,99,341,194,56.9,0.7120419145,0.3194444478,0.8256658316,0.5689149499
31,581208,8,5,39,241.4,263.5,241.4,107,50,46.7,54,39,72.2,28,259,Joe Hugley,23,53,60000932,155,F,62,2020,1,6,ETNST,282,45,16,35.6,22,62,34,54.8,0.722222209,0.3555555642,0.5794392228,0.5483871102
32,560464,21,2,95,537.9,608.5,537.9,309,117,37.9,69,52,75.4,31,882,Rob Edwards,17,69,60000881,359,G,112,2020,1,33,ARZST,255,201,73,36.3,57,108,44,40.7,0.7536231875,0.3631840944,0.3495145738,0.407407403
33,557126,23,4,45,342.9,365.0,342.9,173,71,41.0,42,32,76.2,25,623,Jared Hamilton,17,37,60000922,194,G,62,2020,1,25,BOSCOL,35,66,20,30.3,18,107,51,47.7,0.7619047761,0.3030303121,0.6184971333,0.4766355157
34,555250,66,9,70,623.8,667.0,623.8,273,117,42.9,96,73,76.0,33,841,Admon Gilder,24,60,60000228,352,G,94,2020,1,37,GNZG,334,124,45,36.3,32,149,72,48.3,0.7604166865,0.3629032373,0.5457875729,0.4832214713
35,560174,106,4,146,947.2,1049.0,947.2,516,222,43.0,168,130,77.4,32,1126,John Crosby,20,64,60000284,632,G,166,2020,1,39,DELST,201,183,58,31.7,129,333,164,49.2,0.7738095522,0.3169398904,0.6453488469,0.492492497
36,577734,4,1,19,51.0,53.75,51.0,10,6,60.0,3,2,66.7,12,74,Brady Ernst,6,9,60000207,14,F,25,2020,1,1,DRAKE,211,0,0,0.0,3,10,6,60.0,0.6666666865,0.0,1.0,0.6000000238
37,562490,44,1,22,121.2,146.0,121.2,35,11,31.4,36,27,75.0,23,291,Phillip Jones,4,28,60000519,50,G,26,2020,1,9,HOWRD,195,8,1,12.5,46,27,10,37.0,0.75,0.125,0.7714285851,0.3703703582
38,555306,87,4,104,613.1,663.0,613.1,235,98,41.7,118,72,61.0,28,750,Steven Whitley,44,82,60000944,279,G,148,2020,1,43,NORFST,191,56,11,19.6,68,179,87,48.6,0.6101694703,0.1964285672,0.7617021203,0.486033529
39,599447,2,0,5,16.0,20.75,16.0,19,5,26.3,3,2,66.7,2,57,Antoine Pittman,0,7,60000424,13,G,5,2020,1,1,MRYVLS,804,9,1,11.1,8,10,4,40.0,0.6666666865,0.1111111119,0.5263158083,0.400000006
40,571955,22,2,62,270.2,291.5,270.2,118,39,33.1,52,45,86.5,26,640,Ronnie Suggs,14,48,60000426,138,G,76,2020,1,12,SILL,205,56,15,26.8,20,62,24,38.7,0.8653846383,0.2678571343,0.5254237056,0.3870967627
41,557215,94,7,111,669.2,729.5,669.2,253,110,43.5,90,52,57.8,32,1101,Grant Weatherford,45,81,60000281,298,G,156,2020,1,54,IUPUI,317,79,26,32.9,79,174,84,48.3,0.5777778029,0.3291139305,0.6877470613,0.4827586114
42,557430,18,38,155,740.6,797.25,740.6,314,150,47.8,122,92,75.4,30,984,Mamadi Diakite,48,59,60000096,412,F,203,2020,1,23,VIR,22,56,20,35.7,64,258,130,50.4,0.7540983558,0.3571428657,0.8216560483,0.5038759708
43,557514,128,1,63,597.2,648.5,597.2,239,107,44.8,86,67,77.9,32,957,Terrell Allen,13,82,60000480,304,G,76,2020,1,40,GEORGE,62,57,23,40.4,72,182,84,46.2,0.7790697813,0.4035087824,0.7615062594,0.4615384638
44,590832,0,0,1,3.4,4.0,3.4,2,1,50.0,0,0,0.0,1,7,Trey Chapman,1,0,60001022,2,F,2,2020,1,0,HIPACI,743,0,0,0.0,1,2,1,50.0,0.0,0.0,1.0,0.5
45,562362,58,20,114,577.2,611.5,577.2,207,99,47.8,62,42,67.7,31,833,Ryan Mikesell,32,67,60000292,263,F,146,2020,1,20,DAY,44,88,23,26.1,28,119,76,63.9,0.6774193645,0.2613636255,0.5748792291,0.6386554837
46,553467,52,4,68,484.0,529.5,484.0,239,100,41.8,61,51,83.6,31,760,Nisre Zouzoua,12,64,60000959,303,G,80,2020,1,15,NEVADA,216,125,52,41.6,31,114,48,42.1,0.8360655904,0.4160000086,0.4769874513,0.4210526347
47,554557,39,26,164,778.3,839.5,778.3,333,171,51.4,135,85,63.0,23,801,Malik Ellison,60,61,60000963,429,G-F,224,2020,1,19,HARTFD,18,13,2,15.4,68,320,169,52.8,0.629629612,0.1538461596,0.9609609842,0.5281249881
