Season,Rk,Team,Conf,W,L,AdjEM,AdjO,AdjD,AdjT,Luck,OppAdjEM,OppO,OppD,NCAdjEM
2021,77,Louisiana Tech,CUSA,0,0,11.8,104.7,92.9,69.5,0.027,-0.28,101.7,102,-9.63
2021,78,Dayton,A10,0,0,11.77,109.2,97.4,66.3,0.006,7.68,105,97.3,3.83
2021,79,Notre Dame,ACC,0,0,11.69,114.6,103,67.6,-0.029,14.12,110.7,96.6,14.02
2021,80,Georgetown,BE,0,0,11.68,107.1,95.4,70.2,-0.013,13.24,109.8,96.6,3.93
2021,81,Marquette,BE,0,0,11.64,108.1,96.4,67.8,-0.007,13.49,109.6,96.1,5.98
2021,82,Colgate,Pat,0,0,10.91,110.7,99.8,72.9,0.05,-7.06,99.5,106.6,-99
2021,83,Stanford,P12,0,0,10.9,104.7,93.8,69.5,0.022,11.72,108.8,97.1,8.89
2021,84,Missouri St.,MVC,0,0,10.39,108.2,97.8,69.5,0.039,3.11,103.8,100.7,-13.01
2021,85,Pittsburgh,ACC,0,0,10.09,108.8,98.7,68.7,-0.068,10.15,108.3,98.1,-4.91
2021,86,Winthrop,BSth,0,0,9.83,105.8,95.9,73.7,0.032,-6.99,98.8,105.8,3.42
2021,87,Marshall,CUSA,0,0,9.81,109.8,100,72.9,-0.068,0.51,102.5,102,-0.22
2021,88,Furman,SC,0,0,9.79,110.4,100.6,68,-0.086,1.87,104.1,102.2,2.08
2021,89,Georgia,SEC,0,0,9.67,108.7,99,73.7,0.066,11.41,107.4,96,-6.97
2021,90,Vanderbilt,SEC,0,0,9.65,109.9,100.3,69.2,-0.12,11.94,107.5,95.6,-3.6
2021,91,Liberty,ASun,0,0,9.59,111,101.4,63.2,-0.013,-6.86,98.7,105.5,1.27
2021,92,Kent St.,MAC,0,0,9.56,107.5,97.9,70,0.004,3.4,106.3,102.9,8.16
2021,93,Nebraska,B10,0,0,9.54,102.9,93.3,72.2,-0.128,18.31,112.5,94.1,4.38
2021,94,Abilene Christian,Slnd,0,0,9.35,102.4,93.1,70,-0.024,-8.65,97.7,106.4,3.73
2021,95,Nevada,MWC,0,0,9.32,108.5,99.2,69.8,-0.01,4.16,103.7,99.5,5.18
2021,96,UAB,CUSA,0,0,9.26,104,94.7,67.6,0.021,-3.06,99.2,102.3,-12.81
2021,97,UNC Greensboro,SC,0,0,8.94,104.7,95.8,68.6,0.005,0.09,103.2,103.1,-3.68
2021,98,Western Kentucky,CUSA,0,0,8.9,106.6,97.7,68.3,0.1,1.86,102.6,100.7,9.2
2021,99,UCF,Amer,0,0,8.82,106.9,98.1,67.4,0.062,11.65,106.9,95.3,24.26
2021,100,Loyola Marymount,WCC,0,0,8.77,108,99.3,66.5,0.033,6.51,104.6,98.1,4.82
2021,101,San Francisco,WCC,0,0,8.72,107,98.2,68.1,-0.104,6.11,105.7,99.6,3.49
2021,102,Belmont,OVC,0,0,8.69,110.2,101.5,71.1,0.05,-6.46,98.6,105.1,-6.57
2021,103,Oregon St.,P12,0,0,8.68,108.3,99.7,65.4,0.046,9.31,107.6,98.3,-7.07
2021,104,Rhode Island,A10,0,0,8.67,105.5,96.9,69.3,-0.109,8.91,106.4,97.5,9.68
2021,105,Akron,MAC,0,0,8.16,108.8,100.6,69.6,0.005,3.42,105.7,102.3,20.88
2021,106,Ohio,MAC,0,0,8.13,111.3,103.2,69.3,0.01,1.95,104.3,102.4,0.8
2021,107,UC Riverside,BW,0,0,8.11,104.2,96.1,66.9,-0.089,-1.95,101.5,103.5,-1.71
2021,108,Butler,BE,0,0,7.91,103.6,95.7,64.9,0.065,13.74,109.8,96,-0.69
2021,109,Washington St.,P12,0,0,7.88,101,93.1,67.9,-0.01,6.83,106.3,99.5,-11.41
2021,110,UC Irvine,BW,0,0,7.82,100.7,92.9,67.8,0.023,0.85,102.8,101.9,4.62
2021,111,Pepperdine,WCC,0,0,7.3,108,100.7,71.5,-0.002,9.12,106.7,97.5,6.5
2021,112,Arizona St.,P12,0,0,7.23,107.2,99.9,72.8,0.027,10.68,108,97.3,7.55
2021,113,Massachusetts,A10,0,0,7.17,106.4,99.2,72.1,-0.057,3.58,103.1,99.5,0.08
2021,114,Cincinnati,Amer,0,0,7.11,105.3,98.2,71,0.064,8.76,105.8,97.1,8.98
2021,115,South Carolina,SEC,0,0,7,104.9,97.9,75.2,-0.057,14.57,109.4,94.9,8.37
2021,116,Yale,Ivy,0,0,6.85,108.1,101.2,68.2,0,-99,0,200,-99
2021,117,Indiana St.,MVC,0,0,6.51,103.3,96.8,67.2,0.079,5.81,105.4,99.6,8.52
2021,118,South Dakota St.,Sum,0,0,6.5,111.2,104.7,71.2,0.008,-0.8,102.8,103.6,6.6
2021,119,Tulsa,Amer,0,0,6.45,102.7,96.3,65.7,-0.013,8.05,105.5,97.4,-4.03
2021,120,Duquesne,A10,0,0,6.41,102.6,96.2,69.3,0.007,6.41,105.1,98.7,1.59
2021,121,Bowling Green,MAC,0,0,6.34,107.9,101.6,70.7,-0.004,3.49,105.6,102.1,1.36
2021,122,Eastern Washington,BSky,0,0,6,109.5,103.5,73.1,-0.103,-3.38,100.7,104.1,17.09
2021,123,Pacific,WCC,0,0,5.69,103.7,98,67.4,0.021,8.02,106.7,98.6,2.88
2021,124,DePaul,BE,0,0,5.63,98.5,92.9,70.8,-0.058,12.43,109,96.6,-9.81
2021,125,Wofford,SC,0,0,5.51,107,101.5,66.3,0.025,2.64,104.8,102.1,5.38
2021,126,East Tennessee St.,SC,0,0,5,103.7,98.7,65.8,-0.063,3.05,104.6,101.6,3.41
2021,127,Weber St.,BSky,0,0,4.96,107.3,102.4,72.1,-0.008,-5.62,100,105.6,5.59
2021,128,Morehead St.,OVC,0,0,4.78,100.9,96.1,65.7,0.152,-2.53,101.4,103.9,15.83
2021,129,Vermont,AE,0,0,4.78,106.2,101.4,66.8,-0.069,-8.3,96.4,104.7,-99
2021,130,Mercer,SC,0,0,4.62,106.9,102.3,68.1,-0.002,1.37,103.8,102.5,0.98
2021,131,Grand Canyon,WAC,0,0,4.43,102.6,98.2,65.5,-0.062,-4.85,100,104.9,-0.09
2021,132,George Mason,A10,0,0,4.36,102,97.6,68.5,0.046,2.97,104.4,101.5,-5.9
2021,133,Miami FL,ACC,0,0,4.12,102.9,98.8,68,0.031,11.28,109,97.8,-8.33
2021,134,Texas A&M,SEC,0,0,4.07,102.5,98.5,64.7,0.018,8.14,106.6,98.5,-6.68
2021,135,Temple,Amer,0,0,3.94,102.4,98.4,68.6,-0.072,8.37,105.6,97.2,-13.89
2021,136,UTEP,CUSA,0,0,3.75,103.8,100.1,68.1,-0.065,3.96,103.4,99.4,17.72
2021,137,TCU,B12,0,0,3.42,105,101.6,67.1,0.089,10.65,107.4,96.8,-0.38
2021,138,Cal St. Bakersfield,BW,0,0,3.25,105.4,102.1,64.2,-0.004,-0.6,101.7,102.3,0.94
2021,139,Bradley,MVC,0,0,3.03,104.1,101.1,66.3,-0.086,5.17,105.3,100.1,5.66
2021,140,Southern Utah,BSky,0,0,2.89,108.1,105.2,69.5,0.11,-6.02,100,106,-2.23
